id,registrationCode,fullName,email,phoneNumber
8d1bc873-f2cb-4914-be2d-fade5fbab0db,5707-4f1c,Maria Anders,maria.anders@gmail.com,612-697-7111
1c03d14d-1141-4bca-93ba-d5850362f646,e031-415a,Ana Trujillo,ana.trujillo@gmail.com,415-947-0904
7a6b46f9-2ac6-4579-b348-fa4f9895cb33,5175-420a,Antonio Moreno,antonio.moreno@gmail.com,360-585-8092
2413b4c5-2a6d-48c1-a3bc-a42f73caf8b6,8c02-4918,Thomas Hardy,thomas.hardy@gmail.com,305-811-7244
23541622-09de-4ae0-8689-0a86fb77c752,afe7-4ef1,Christina Berglund,christina.berglund@gmail.com,302-788-8293
2bfa4231-058e-40e2-96fb-95a3abf5ea47,47d9-4c2b,Hanna Moos,hanna.moos@gmail.com,679-835-2025
a1dfaeac-9717-43a3-af7e-4a334c605c98,f63a-450d,Frédérique Citeaux,frédérique.citeaux@gmail.com,744-489-3380
da93e212-48b9-40cf-9b69-77b0d86f2c49,1d33-41db,Martín Sommer,martín.sommer@gmail.com,629-802-2567
30719b92-9845-49fc-841d-a55623d4f0ca,9ee4-4b76,Laurence Lebihans,laurence.lebihans@gmail.com,805-707-9945
ee0eb64e-d7d0-436b-8e63-33366ae9cd02,9f9f-438c,Elizabeth Lincoln,elizabeth.lincoln@gmail.com,233-124-9401
